"id","gender","birthday","age","abonoment_type","visit_per_week","attend_group_lesson","avg_time_check_in","avg_time_check_out","avg_time_in_gym","drink_abo","personal_training","uses_sauna","name_personal_trainer","lesson","drink","day_of_week"
1,"Female","1997-04-18 00:00:00","27.0","Premium","4.0",1,"19:31:00","21:27:00","116.0","","",1,"","Kickboxen","","Mon"
1,"Female","1997-04-18 00:00:00","27.0","Premium","4.0",1,"19:31:00","21:27:00","116.0","","",1,"","BodyPump","","Sat"
1,"Female","1997-04-18 00:00:00","27.0","Premium","4.0",1,"19:31:00","21:27:00","116.0","","",1,"","Zumba","","Tue"
1,"Female","1997-04-18 00:00:00","27.0","Premium","4.0",1,"19:31:00","21:27:00","116.0","","",1,"","","","Wed"
2,"Female","1977-09-18 00:00:00","47.0","Standard","3.0","","19:31:00","20:19:00","48.0","",1,"","Chantal","","","Mon"
2,"Female","1977-09-18 00:00:00","47.0","Standard","3.0","","19:31:00","20:19:00","48.0","",1,"","Chantal","","","Sat"
2,"Female","1977-09-18 00:00:00","47.0","Standard","3.0","","19:31:00","20:19:00","48.0","",1,"","Chantal","","","Wed"
3,"Male","1983-03-30 00:00:00","41.0","Premium","1.0",1,"08:29:00","10:32:00","123.0",1,1,"","Mike","XCore","berry_boost","Sat"
3,"Male","1983-03-30 00:00:00","41.0","Premium","1.0",1,"08:29:00","10:32:00","123.0",1,1,"","Mike","","lemon",""
4,"Male","1980-04-12 00:00:00","44.0","Premium","3.0","","09:54:00","11:33:00","99.0",1,1,1,"Mike","","passion_fruit","Sat"
4,"Male","1980-04-12 00:00:00","44.0","Premium","3.0","","09:54:00","11:33:00","99.0",1,1,1,"Mike","","","Tue"
4,"Male","1980-04-12 00:00:00","44.0","Premium","3.0","","09:54:00","11:33:00","99.0",1,1,1,"Mike","","","Wed"
5,"Male","1980-09-10 00:00:00","44.0","Standard","2.0",1,"08:29:00","09:19:00","50.0","",1,"","Mike","Running","","Thu"
5,"Male","1980-09-10 00:00:00","44.0","Standard","2.0",1,"08:29:00","09:19:00","50.0","",1,"","Mike","Yoga","","Wed"
5,"Male","1980-09-10 00:00:00","44.0","Standard","2.0",1,"08:29:00","09:19:00","50.0","",1,"","Mike","Zumba","",""
6,"Female","2009-06-29 00:00:00","15.0","Standard","1.0","","17:19:00","20:19:00","180.0","","",1,"","","","Mon"
7,"Male","1994-08-07 00:00:00","30.0","Premium","3.0",1,"19:46:00","20:48:00","62.0","","","","","LesMiles","","Sat"
7,"Male","1994-08-07 00:00:00","30.0","Premium","3.0",1,"19:46:00","20:48:00","62.0","","","","","BodyPump","","Thu"
7,"Male","1994-08-07 00:00:00","30.0","Premium","3.0",1,"19:46:00","20:48:00","62.0","","","","","","","Wed"
8,"Male","2003-11-13 00:00:00","20.0","Standard","2.0",1,"17:45:00","19:20:00","95.0",1,"",1,"","Yoga","coconut_pineapple","Mon"
8,"Male","2003-11-13 00:00:00","20.0","Standard","2.0",1,"17:45:00","19:20:00","95.0",1,"",1,"","XCore","","Wed"
9,"Male","1978-07-28 00:00:00","46.0","Premium","3.0",1,"09:45:00","11:17:00","92.0",1,1,"","Mike","BodyPump","orange","Sat"
